#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
103 12 30 31 400.000000 531.876968 9 0.0000e+00 0.0000e+00 0.0000e+00 77 0.000000 1.000000 0.000000 244.377836 -86.328891 1716.543852
35 15 27 20 417.000000 551.984589 9 0.0000e+00 0.0000e+00 0.0000e+00 259 0.000000 1.000000 0.000000 187.170129 1661.925902 102.824278
131 30 19 13 392.000000 498.475166 9 0.0000e+00 0.0000e+00 0.0000e+00 21 0.000000 1.000000 0.000000 -1587.055482 653.639224 -260.205036
65 27 32 20 423.000000 516.977789 9 0.0000e+00 0.0000e+00 0.0000e+00 148 0.000000 1.000000 0.000000 1609.016920 32.389135 245.550037
133 18 13 11 339.000000 461.796842 9 0.0000e+00 0.0000e+00 0.0000e+00 20 0.000000 1.000000 0.000000 -512.545187 92.806286 -1656.013413
15 10 20 16 432.000000 549.967441 9 0.0000e+00 0.0000e+00 0.0000e+00 178 0.000000 1.000000 0.000000 -299.842480 -903.116732 -1451.954082
89 29 38 24 409.000000 505.353772 9 0.0000e+00 0.0000e+00 0.0000e+00 93 0.000000 1.000000 0.000000 -1231.819359 118.801220 -349.912909
