#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 31 31 32 411.000000 556.097700 9 0.0000e+00 0.0000e+00 0.0000e+00 195 0.000000 1.000000 0.000000 -220.003778 1684.857450 -67.917629
50 25 16 33 436.000000 589.898341 9 0.0000e+00 0.0000e+00 0.0000e+00 65 0.000000 1.000000 0.000000 -438.504443 1945.855987 146.144892
57 33 19 10 335.000000 427.460328 9 0.0000e+00 0.0000e+00 0.0000e+00 24 0.000000 1.000000 0.000000 1569.398808 214.332352 -8.742324
13 18 16 22 442.000000 654.865356 9 0.0000e+00 0.0000e+00 0.0000e+00 301 0.000000 1.000000 0.000000 -149.260697 -818.381066 1485.810484
35 35 31 18 313.000000 406.117183 9 0.0000e+00 0.0000e+00 0.0000e+00 13 0.000000 1.000000 0.000000 1647.193870 127.014415 5.488413
9 24 43 26 464.000000 559.140033 9 0.0000e+00 0.0000e+00 0.0000e+00 37 0.000000 1.000000 0.000000 4.547724 58.108268 1255.012772
15 16 32 18 474.000000 549.673577 9 0.0000e+00 0.0000e+00 0.0000e+00 72 0.000000 1.000000 0.000000 1788.955511 -529.999895 720.234887
