#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 22 25 39 485.000000 467.039483 9 0.0000e+00 0.0000e+00 0.0000e+00 72 0.000000 1.000000 0.000000 -11.470750 -2.609744 55.405317
50 18 33 19 314.000000 458.528577 9 0.0000e+00 0.0000e+00 0.0000e+00 15 0.000000 1.000000 0.000000 9.408481 -45.517828 18.428451
13 38 24 32 341.000000 396.611283 9 0.0000e+00 0.0000e+00 0.0000e+00 4 0.000000 1.000000 0.000000 -3.247898 -6.940303 34.602637
35 20 26 21 452.000000 523.086868 9 0.0000e+00 0.0000e+00 0.0000e+00 81 0.000000 1.000000 0.000000 47.596352 -12.020930 0.183419
9 33 38 22 269.000000 323.380325 9 0.0000e+00 0.0000e+00 0.0000e+00 3 0.000000 1.000000 0.000000 39.439942 -1.661279 -1.287501
15 16 36 20 334.000000 414.930210 9 0.0000e+00 0.0000e+00 0.0000e+00 15 0.000000 1.000000 0.000000 -19.729973 20.563272 3.163417
21 31 25 13 463.000000 496.456367 9 0.0000e+00 0.0000e+00 0.0000e+00 226 0.000000 1.000000 0.000000 4.903710 -23.182962 -44.028444
19 24 27 11 479.000000 472.378500 9 0.0000e+00 0.0000e+00 0.0000e+00 247 0.000000 1.000000 0.000000 6.048181 -1.369467 -32.342615
