#Name                     Rank      Calls  TotalTime   AverageTime  MinTime  MaxTime      Variance
ActiveCellsDetection         0       1506      85173      56.55578       55      149      10.06362
BC:cells                     0       1506      66244      43.98672       41      441     115.42081
CellInfo                     0          6       6298    1049.66667      739     1421   44994.55556
CellOrientation              0         99        636       6.42424        1       19      17.94123
CenterOfMass                 0       1506    6597882    4381.06375     3983     7216  104814.70776
Clean:Cells                  0         15      59820    3988.00000     3495     5528  272601.06667
Divide:Cells                 0       1503    1071824     713.12309        1    23257 5746481.07400
ExchangeContainer            0       1509     111534      73.91252        8      196    1000.67094
Filling                      0          3       1338     446.00000      411      479     772.66667
KDtree-rebuildIndex          0       1512       8757       5.79167        0       21      22.85541
LoggerSync                   0         15          2       0.13333        0        1       0.11556
Sweep:Cells                  0       1503    1409339     937.68397      700     2327   37511.47364
TimeStep                     0       1503    9398312    6253.03526     4832    29957 6815770.95085

