#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 16 22 23 475.000000 526.171245 9 0.0000e+00 0.0000e+00 0.0000e+00 392 0.000000 1.000000 0.000000 -963.835097 -153.654799 -76.714242
13 31 21 26 462.000000 601.735948 9 0.0000e+00 0.0000e+00 0.0000e+00 187 0.000000 1.000000 0.000000 -217.410511 -1187.468795 -167.622672
16 35 31 25 482.000000 523.010942 9 0.0000e+00 0.0000e+00 0.0000e+00 120 0.000000 1.000000 0.000000 -2.008454 785.854192 -127.446881
9 29 25 11 355.000000 456.532003 9 0.0000e+00 0.0000e+00 0.0000e+00 16 0.000000 1.000000 0.000000 1049.617500 -50.541730 -654.673722
15 26 26 36 474.000000 562.473586 9 0.0000e+00 0.0000e+00 0.0000e+00 42 0.000000 1.000000 0.000000 985.637425 542.637818 -833.104474
21 22 26 20 449.000000 529.944319 9 0.0000e+00 0.0000e+00 0.0000e+00 116 0.000000 1.000000 0.000000 -709.398121 -628.878097 1030.177967
19 31 27 25 448.000000 613.307065 9 0.0000e+00 0.0000e+00 0.0000e+00 120 0.000000 1.000000 0.000000 -133.023655 1032.083631 -135.422591
24 20 26 29 451.000000 546.669132 9 0.0000e+00 0.0000e+00 0.0000e+00 75 0.000000 1.000000 0.000000 165.431391 -1387.764739 -82.106539
25 34 27 33 446.000000 567.961248 9 0.0000e+00 0.0000e+00 0.0000e+00 33 0.000000 1.000000 0.000000 189.597229 -111.648354 1111.698595
11 19 20 33 470.000000 498.598916 9 0.0000e+00 0.0000e+00 0.0000e+00 118 0.000000 1.000000 0.000000 -1274.815553 281.455615 -505.596719
27 27 28 31 442.000000 599.530616 9 0.0000e+00 0.0000e+00 0.0000e+00 42 0.000000 1.000000 0.000000 319.141475 -1143.396453 -742.154478
20 25 14 23 466.000000 530.155555 9 0.0000e+00 0.0000e+00 0.0000e+00 43 0.000000 1.000000 0.000000 -85.878499 19.130070 -1183.430774
10 21 33 26 371.000000 434.062121 9 0.0000e+00 0.0000e+00 0.0000e+00 16 0.000000 1.000000 0.000000 -517.895863 1065.914545 -148.080282
17 27 32 18 478.000000 521.128911 9 0.0000e+00 0.0000e+00 0.0000e+00 116 0.000000 1.000000 0.000000 1334.760601 420.818965 36.407934
30 23 28 27 347.000000 431.039605 9 0.0000e+00 0.0000e+00 0.0000e+00 16 0.000000 1.000000 0.000000 -21.068544 -1317.386628 473.337711
28 32 23 33 397.000000 508.313090 9 0.0000e+00 0.0000e+00 0.0000e+00 33 0.000000 1.000000 0.000000 -1281.840269 179.983457 -127.699091
18 31 21 38 469.000000 537.818506 9 0.0000e+00 0.0000e+00 0.0000e+00 73 0.000000 1.000000 0.000000 74.609413 115.988183 1046.787667
29 25 24 13 347.000000 412.898199 9 0.0000e+00 0.0000e+00 0.0000e+00 16 0.000000 1.000000 0.000000 1040.734289 -930.152839 108.110294
26 23 19 25 478.000000 586.251396 9 0.0000e+00 0.0000e+00 0.0000e+00 43 0.000000 1.000000 0.000000 -209.393276 -967.172919 -990.318636
8 33 18 30 475.000000 552.282898 9 0.0000e+00 0.0000e+00 0.0000e+00 148 0.000000 1.000000 0.000000 161.560668 -1261.590439 -144.892444
14 30 19 17 457.000000 560.409028 9 0.0000e+00 0.0000e+00 0.0000e+00 79 0.000000 1.000000 0.000000 -387.805074 970.616239 -931.402889
22 26 27 15 450.000000 555.436426 9 0.0000e+00 0.0000e+00 0.0000e+00 111 0.000000 1.000000 0.000000 743.490246 -677.977791 973.431234
23 29 26 23 454.000000 517.666145 9 0.0000e+00 0.0000e+00 0.0000e+00 79 0.000000 1.000000 0.000000 20.144167 -1118.294568 -842.028190
