method,replicate,n,eps
async,0,200,0.286949643149299
async,0,223,0.1658248574902655
async,0,248,0.1249461709291196
async,0,277,0.0963891225364208
async,0,309,0.0736720153304512
async,0,344,0.0657847989198757
async,0,384,0.0471836456255188
async,0,428,0.0356135076175452
async,0,478,0.0260526357384763
async,0,533,0.0199341186376849
async,0,594,0.0164714905201499
async,0,662,0.0129033556832316
async,0,739,0.0098587814180438
async,0,824,0.0068516837398989
async,0,919,0.0049158832218886
async,0,1024,0.0039377154891121
async,0,1142,0.0031557799411447
async,0,1274,0.0023851012833227
async,0,1421,0.001795835971804
async,0,1584,0.0015395288186474
async,0,1766,0.0012253593172751
async,0,1970,0.0010276156779327
async,0,2197,0.0008844692583772
async,0,2449,0.0007162364489957
async,0,2731,0.0005829294928845
async,0,3046,0.0005081224595564
async,0,3396,0.0003881928802269
async,0,3787,0.0003558901693891
async,0,4223,0.000304278730159
async,0,4710,0.0002452469431103
async,0,5252,0.0002196723390904
async,0,5856,0.0001881276565365
async,0,6530,0.0001640604659164
async,0,7282,0.0001403885154019
async,0,8120,0.0001259774234444
async,0,9054,0.0001035715258668
async,0,10097,9.181163125556876e-05
async,0,11259,7.448944388086529e-05
async,0,12555,6.287622300103342e-05
async,1,200,0.2340528191776632
async,1,223,0.1160322188545725
async,1,248,0.0850824342176012
async,1,277,0.0592310857999998
async,1,309,0.0425716999561645
async,1,344,0.0331825498479706
async,1,384,0.0258171526219725
async,1,428,0.0227310164553257
async,1,478,0.0181081484687753
async,1,533,0.0135415893404209
async,1,594,0.011356931942134
async,1,662,0.0096040700844435
async,1,739,0.0083209576101647
async,1,824,0.0063959171725866
async,1,919,0.004877693892697
async,1,1024,0.0039114810502664
async,1,1142,0.0029828999195131
async,1,1274,0.0024856930398929
async,1,1421,0.0017080077983326
async,1,1584,0.0014724367011861
async,1,1766,0.0012108477875685
async,1,1970,0.0009975425086175
async,1,2197,0.0008199180444397
async,1,2449,0.0006940223567794
async,1,2731,0.0005470705300322
async,1,3046,0.0004360333677197
async,1,3396,0.0003543261591172
async,1,3787,0.0002779836008936
async,1,4223,0.0002460841483263
async,1,4710,0.0002176579069075
async,1,5252,0.0001824044559094
async,1,5856,0.0001558404640481
async,1,6530,0.0001434222738996
async,1,7282,0.0001267365523982
async,1,8120,0.0001149508947287
async,1,9054,0.0001107951393601
async,1,10097,9.751159467628376e-05
async,1,11259,8.244138599486756e-05
async,1,12555,7.884729029278243e-05
async,2,200,0.2719167161794862
async,2,223,0.1822158094745092
async,2,248,0.1129890216282431
async,2,277,0.0786487507464871
async,2,309,0.0549544270292312
async,2,344,0.0422401582682758
async,2,384,0.0325554146284467
