n_workers,method,k,util_mean_pct,util_std_pct
1,async_propulate_abc,100,99.98547492992587,0.000616682788486112
1,abc_smc_baseline,100,99.92763818843898,0.006330044340510187
4,async_propulate_abc,100,99.85663049001752,0.06836441443389872
4,abc_smc_baseline,100,73.5303915814839,0.4622958821388728
16,async_propulate_abc,100,99.73917082312266,0.05287428884039415
16,abc_smc_baseline,100,77.5255428500012,2.5402472035965626
48,async_propulate_abc,100,99.7564179518379,0.018555963528449994
48,abc_smc_baseline,100,41.40024617826469,2.5624251501385076
96,async_propulate_abc,100,99.61417139081645,0.053043424450130675
96,abc_smc_baseline,100,24.078616704373584,0.9653388803429449
192,async_propulate_abc,100,99.42871975017923,0.05465356640994072
192,abc_smc_baseline,192,25.715216470001316,3.2440185650334525
384,async_propulate_abc,100,98.94122071155479,0.11283503407773028
384,abc_smc_baseline,384,28.640695699220576,6.3393964267656315
