base_method,sigma,median,q1,q3,n
abc_smc_baseline,0.0,0.5079015294954576,0.5039728811765223,0.510665201076594,5
abc_smc_baseline,0.5,0.5546106846072999,0.5293652534736453,0.5595093103494375,5
abc_smc_baseline,1.0,0.6990309684172835,0.6712917817262826,0.7009245268409064,5
abc_smc_baseline,1.5,0.7857347646501132,0.7752284457016274,0.7901482344119382,5
abc_smc_baseline,2.0,0.7696108863918864,0.7600330816444556,0.8005342652632385,5
async_propulate_abc,0.0,0.008545965526960075,0.008433052423371779,0.008579931678618369,5
async_propulate_abc,0.5,0.016137143174911328,0.014329668246043203,0.01740693472317889,5
async_propulate_abc,1.0,0.04008662511648464,0.03537429217487387,0.04700507042890756,5
async_propulate_abc,1.5,0.15727857906579346,0.12936383423975573,0.17586629177719437,5
async_propulate_abc,2.0,0.2710273204063678,0.2653824455270216,0.286708046043051,5
