benchmark,method,wall_time,w1_median,w1_q1,w1_q3,ess_median,ess_fraction_median,n_records_median,n_replicates
gandk,abc_smc_baseline,75.0,0.04301281396942429,0.030751193048802458,0.05263358484810762,100.0,1.0,100.0,5
gandk,abc_smc_baseline,150.0,0.02755914876824185,0.02524811597076732,0.030751193048802458,100.0,1.0,100.0,5
gandk,abc_smc_baseline,225.0,0.022485558227735708,0.020879231412622157,0.026200323400119508,100.0,1.0,100.0,5
gandk,abc_smc_baseline,300.0,0.020879231412622157,0.01961308932686484,0.031814411597107434,100.0,1.0,100.0,5
gandk,abc_smc_baseline,375.0,0.028321568043212224,0.020879231412622157,0.031814411597107434,100.0,1.0,100.0,5
gandk,abc_smc_baseline,450.0,0.02532267089923799,0.020879231412622157,0.031814411597107434,100.0,1.0,100.0,5
gandk,abc_smc_baseline,525.0,0.0290557532450937,0.020879231412622157,0.031814411597107434,100.0,1.0,100.0,5
gandk,abc_smc_baseline,600.0,0.028542136395553662,0.020879231412622157,0.0290557532450937,100.0,1.0,100.0,5
gandk,async_propulate_abc,75.0,0.09191742213111402,0.08972653332294335,0.11464645875706855,1183.7670936164077,0.009917976383016988,119410.0,5
gandk,async_propulate_abc,150.0,0.2961543307379521,0.0388467777083053,0.3065674793207541,47.64782530039863,0.00016872638625905597,282397.0,5
gandk,async_propulate_abc,225.0,0.04189522802733075,0.037006215120408484,0.07361957381225617,628.299390788928,0.0013452364085363138,481535.0,5
gandk,async_propulate_abc,300.0,0.053914725976086555,0.03624710942200329,0.08130640710248523,571.0690845411702,0.0007593337347269657,702311.0,5
gandk,async_propulate_abc,375.0,0.046501232434253484,0.035262476587046655,0.07680244150945714,730.2360855018269,0.0007222723110007328,967134.0,5
gandk,async_propulate_abc,450.0,0.061566398530592925,0.038740695763774945,0.07251879405857017,457.3167686471346,0.0003738612232303226,1223226.0,5
gandk,async_propulate_abc,525.0,0.06159270216377828,0.03685356711995131,0.07440848993641883,423.2243738341618,0.0002868625428941637,1475356.0,5
gandk,async_propulate_abc,600.0,0.06854523800618742,0.03647570364887407,0.07310335495928334,492.0099233309517,0.000281859457701283,1745586.0,5
gandk,rejection_abc,75.0,1.0064453654547594,0.965298967020096,1.006482795757874,100.0,1.0,100.0,5
gandk,rejection_abc,150.0,1.0064453654547594,0.965298967020096,1.006482795757874,100.0,1.0,100.0,5
gandk,rejection_abc,225.0,1.0064453654547594,0.965298967020096,1.006482795757874,100.0,1.0,100.0,5
gandk,rejection_abc,300.0,1.0064453654547594,0.965298967020096,1.006482795757874,100.0,1.0,100.0,5
gandk,rejection_abc,375.0,1.0064453654547594,0.965298967020096,1.006482795757874,100.0,1.0,100.0,5
gandk,rejection_abc,450.0,1.0064453654547594,0.965298967020096,1.006482795757874,100.0,1.0,100.0,5
gandk,rejection_abc,525.0,1.0064453654547594,0.965298967020096,1.006482795757874,100.0,1.0,100.0,5
gandk,rejection_abc,600.0,1.0064453654547594,0.965298967020096,1.006482795757874,100.0,1.0,100.0,5
gaussian_mean,abc_smc_baseline,37.5,0.02192516646491807,0.018280539887526686,0.024692487326885552,100.0,1.0,100.0,5
gaussian_mean,abc_smc_baseline,75.0,0.025881342425972724,0.020051732136298944,0.02646505407983227,100.0,1.0,100.0,5
gaussian_mean,abc_smc_baseline,112.5,0.023855348185869617,0.02036846054630502,0.028914313364901967,100.0,1.0,100.0,5
gaussian_mean,abc_smc_baseline,150.0,0.01926759703739377,0.018115298764724074,0.02264140288546896,100.0,1.0,100.0,5
gaussian_mean,abc_smc_baseline,187.5,0.025052777152544156,0.018836771189104404,0.02882793398160788,100.0,1.0,100.0,5
gaussian_mean,abc_smc_baseline,225.0,0.019185155178378953,0.01903725315212916,0.01985673593058676,100.0,1.0,100.0,5
gaussian_mean,abc_smc_baseline,262.5,0.019259197768074977,0.018147454323768283,0.01985673593058676,100.0,1.0,100.0,5
gaussian_mean,abc_smc_baseline,300.0,0.027607229080551556,0.021676892656582535,0.02938659336679595,100.0,1.0,100.0,5
gaussian_mean,async_propulate_abc,37.5,0.011270553115819246,0.008832808187625807,0.011853336747920764,270.1601447339094,0.002630501461788683,100227.0,5
gaussian_mean,async_propulate_abc,75.0,0.009658874060173588,0.008884681129276064,0.016045212269333038,237.79500214756007,0.0010416082723637738,228296.0,5
gaussian_mean,async_propulate_abc,112.5,0.008196177770479655,0.007186122025043785,0.008422402568808694,281.63539928510767,0.0007228966675900934,380508.0,5
gaussian_mean,async_propulate_abc,150.0,0.010362808872889904,0.008256371743836116,0.01053017748848876,256.9020466206577,0.00045998905385295096,558496.0,5
gaussian_mean,async_propulate_abc,187.5,0.00900528398997643,0.00844701686968993,0.012996114647740876,273.94784305741007,0.00036706534746858924,744182.0,5
