benchmark,method,replicate,wall_time,n_records,w1,ess,ess_fraction
gaussian_mean,abc_smc_baseline,0,37.5,100,0.0246924873268855,100.0,1.0
gaussian_mean,abc_smc_baseline,0,75.0,100,0.0264650540798322,100.0,1.0
gaussian_mean,abc_smc_baseline,0,112.5,100,0.0184849093012664,100.0,1.0
gaussian_mean,abc_smc_baseline,0,150.0,100,0.0171373659994908,100.0,1.0
gaussian_mean,abc_smc_baseline,0,187.5,100,0.0171373659994908,100.0,1.0
gaussian_mean,abc_smc_baseline,0,225.0,100,0.0198567359305867,100.0,1.0
gaussian_mean,abc_smc_baseline,0,262.5,100,0.0198567359305867,100.0,1.0
gaussian_mean,abc_smc_baseline,0,300.0,100,0.0276072290805515,100.0,1.0
gaussian_mean,abc_smc_baseline,1,37.5,100,0.0182805398875266,100.0,1.0
gaussian_mean,abc_smc_baseline,1,75.0,100,0.0176298902820131,100.0,1.0
gaussian_mean,abc_smc_baseline,1,112.5,100,0.0238553481858696,100.0,1.0
gaussian_mean,abc_smc_baseline,1,150.0,100,0.0192675970373937,100.0,1.0
gaussian_mean,abc_smc_baseline,1,187.5,100,0.0250527771525441,100.0,1.0
gaussian_mean,abc_smc_baseline,1,225.0,100,0.0303209750688138,100.0,1.0
gaussian_mean,abc_smc_baseline,1,262.5,100,0.0326779480370264,100.0,1.0
gaussian_mean,abc_smc_baseline,1,300.0,100,0.0315394184704804,100.0,1.0
gaussian_mean,abc_smc_baseline,2,37.5,100,0.021925166464918,100.0,1.0
gaussian_mean,abc_smc_baseline,2,75.0,100,0.0200517321362989,100.0,1.0
gaussian_mean,abc_smc_baseline,2,112.5,100,0.0310305518099502,100.0,1.0
gaussian_mean,abc_smc_baseline,2,150.0,100,0.0241529544618942,100.0,1.0
gaussian_mean,abc_smc_baseline,2,187.5,100,0.0288279339816078,100.0,1.0
gaussian_mean,abc_smc_baseline,2,225.0,100,0.0191851551783789,100.0,1.0
gaussian_mean,abc_smc_baseline,2,262.5,100,0.0156910822987513,100.0,1.0
gaussian_mean,abc_smc_baseline,2,300.0,100,0.0156910822987513,100.0,1.0
gaussian_mean,abc_smc_baseline,3,37.5,100,0.018153544191406,100.0,1.0
gaussian_mean,abc_smc_baseline,3,75.0,100,0.0258813424259727,100.0,1.0
gaussian_mean,abc_smc_baseline,3,112.5,100,0.020368460546305,100.0,1.0
gaussian_mean,abc_smc_baseline,3,150.0,100,0.018115298764724,100.0,1.0
gaussian_mean,abc_smc_baseline,3,187.5,100,0.0188367711891044,100.0,1.0
gaussian_mean,abc_smc_baseline,3,225.0,100,0.01523142724515,100.0,1.0
gaussian_mean,abc_smc_baseline,3,262.5,100,0.0181474543237682,100.0,1.0
gaussian_mean,abc_smc_baseline,3,300.0,100,0.0216768926565825,100.0,1.0
gaussian_mean,abc_smc_baseline,4,37.5,100,0.0326640415109107,100.0,1.0
gaussian_mean,abc_smc_baseline,4,75.0,100,0.0284723734087244,100.0,1.0
gaussian_mean,abc_smc_baseline,4,112.5,100,0.0289143133649019,100.0,1.0
gaussian_mean,abc_smc_baseline,4,150.0,100,0.0226414028854689,100.0,1.0
gaussian_mean,abc_smc_baseline,4,187.5,100,0.0306090237995309,100.0,1.0
gaussian_mean,abc_smc_baseline,4,225.0,100,0.0190372531521291,100.0,1.0
gaussian_mean,abc_smc_baseline,4,262.5,100,0.0192591977680749,100.0,1.0
gaussian_mean,abc_smc_baseline,4,300.0,100,0.0293865933667959,100.0,1.0
gaussian_mean,async_propulate_abc,0,37.5,97646,0.0160018651123373,245.51375944539055,0.0025143248002518
gaussian_mean,async_propulate_abc,0,75.0,223221,0.0165432285753777,268.5172295936578,0.0012029210047157
gaussian_mean,async_propulate_abc,0,112.5,380508,0.0173125150888268,217.8500778824555,0.0005725243040421
gaussian_mean,async_propulate_abc,0,150.0,559380,0.0198945067715814,245.1750383095311,0.000438297826718
gaussian_mean,async_propulate_abc,0,187.5,744182,0.0181444313574948,324.255625295536,0.000435720865723
gaussian_mean,async_propulate_abc,0,225.0,936440,0.0209948803866492,307.0436851158703,0.0003278839916234
gaussian_mean,async_propulate_abc,0,262.5,1137385,0.0261873796659212,252.5658130582975,0.0002220583294647
gaussian_mean,async_propulate_abc,0,300.0,1330205,0.0189289095739466,302.9968580856872,0.000227782077263
gaussian_mean,async_propulate_abc,1,37.5,96700,0.0112705531158192,254.36949135496565,0.0026305014617886
gaussian_mean,async_propulate_abc,1,75.0,225568,0.016045212269333,271.79417269723854,0.001204932316185
gaussian_mean,async_propulate_abc,1,112.5,379702,0.0084224025688086,281.9257433037705,0.0007424921209363
gaussian_mean,async_propulate_abc,1,150.0,558496,0.0105301774884887,256.9020466206577,0.0004599890538529
gaussian_mean,async_propulate_abc,1,187.5,746319,0.0063448320317544,273.94784305741007,0.0003670653474685
gaussian_mean,async_propulate_abc,1,225.0,937752,0.0109015220610388,230.283944860536,0.0002455701985818
gaussian_mean,async_propulate_abc,1,262.5,1105239,0.0160613381219664,261.1728578975334,0.0002363044173228
gaussian_mean,async_propulate_abc,1,300.0,1105433,0.016088363267031,261.07795047811345,0.0002361770912195
