trial,method,benchmark,param,true_value,rank,n_samples
0,async_propulate_abc,gaussian_mean,mu,0.670357575438965,76,100
1,async_propulate_abc,gaussian_mean,mu,2.6073599129515843,50,100
2,async_propulate_abc,gaussian_mean,mu,-1.191006095016487,13,100
3,async_propulate_abc,gaussian_mean,mu,0.6944401902336219,52,100
4,async_propulate_abc,gaussian_mean,mu,3.248046109478892,25,100
5,async_propulate_abc,gaussian_mean,mu,-4.434672536057063,56,100
6,async_propulate_abc,gaussian_mean,mu,3.220090967355631,19,100
7,async_propulate_abc,gaussian_mean,mu,-2.7775733910653555,35,100
8,async_propulate_abc,gaussian_mean,mu,4.304631176542582,60,100
9,async_propulate_abc,gaussian_mean,mu,-1.1079534817102532,94,100
10,async_propulate_abc,gaussian_mean,mu,-3.0078418091433043,59,100
11,async_propulate_abc,gaussian_mean,mu,4.173053190483779,7,100
12,async_propulate_abc,gaussian_mean,mu,4.291387587736933,80,100
13,async_propulate_abc,gaussian_mean,mu,2.4917956109068733,34,100
14,async_propulate_abc,gaussian_mean,mu,4.902199605182169,23,100
15,async_propulate_abc,gaussian_mean,mu,-3.6916850154215073,81,100
16,async_propulate_abc,gaussian_mean,mu,-3.370062220325228,8,100
17,async_propulate_abc,gaussian_mean,mu,1.009237505778282,80,100
18,async_propulate_abc,gaussian_mean,mu,1.2295949568391311,88,100
19,async_propulate_abc,gaussian_mean,mu,-1.0953333184106184,46,100
0,abc_smc_baseline,gaussian_mean,mu,0.670357575438965,80,100
1,abc_smc_baseline,gaussian_mean,mu,2.6073599129515843,43,100
2,abc_smc_baseline,gaussian_mean,mu,-1.191006095016487,5,100
3,abc_smc_baseline,gaussian_mean,mu,0.6944401902336219,51,100
4,abc_smc_baseline,gaussian_mean,mu,3.248046109478892,36,100
5,abc_smc_baseline,gaussian_mean,mu,-4.434672536057063,70,100
6,abc_smc_baseline,gaussian_mean,mu,3.220090967355631,0,100
7,abc_smc_baseline,gaussian_mean,mu,-2.7775733910653555,30,100
8,abc_smc_baseline,gaussian_mean,mu,4.304631176542582,61,100
9,abc_smc_baseline,gaussian_mean,mu,-1.1079534817102532,93,100
10,abc_smc_baseline,gaussian_mean,mu,-3.0078418091433043,54,100
11,abc_smc_baseline,gaussian_mean,mu,4.173053190483779,8,100
12,abc_smc_baseline,gaussian_mean,mu,4.291387587736933,85,100
13,abc_smc_baseline,gaussian_mean,mu,2.4917956109068733,43,100
14,abc_smc_baseline,gaussian_mean,mu,4.902199605182169,4,100
15,abc_smc_baseline,gaussian_mean,mu,-3.6916850154215073,81,100
16,abc_smc_baseline,gaussian_mean,mu,-3.370062220325228,7,100
17,abc_smc_baseline,gaussian_mean,mu,1.009237505778282,95,100
18,abc_smc_baseline,gaussian_mean,mu,1.2295949568391311,95,100
19,abc_smc_baseline,gaussian_mean,mu,-1.0953333184106184,40,100
20,async_propulate_abc,gaussian_mean,mu,3.14493946066235,33,100
21,async_propulate_abc,gaussian_mean,mu,4.382028757080342,0,100
22,async_propulate_abc,gaussian_mean,mu,-2.849922470642743,35,100
23,async_propulate_abc,gaussian_mean,mu,-4.157922591440614,37,100
24,async_propulate_abc,gaussian_mean,mu,0.3496631393193912,81,100
25,async_propulate_abc,gaussian_mean,mu,4.467273700042563,0,100
26,async_propulate_abc,gaussian_mean,mu,-0.8542101981940835,46,100
27,async_propulate_abc,gaussian_mean,mu,2.902637187723668,96,100
28,async_propulate_abc,gaussian_mean,mu,4.780388919561675,32,100
29,async_propulate_abc,gaussian_mean,mu,-2.7662299359448115,29,100
30,async_propulate_abc,gaussian_mean,mu,0.5386934909580177,75,100
31,async_propulate_abc,gaussian_mean,mu,-4.979860291773612,17,100
32,async_propulate_abc,gaussian_mean,mu,0.9837963281508896,99,100
33,async_propulate_abc,gaussian_mean,mu,4.915480624856569,39,100
34,async_propulate_abc,gaussian_mean,mu,1.8586360163146871,84,100
35,async_propulate_abc,gaussian_mean,mu,-1.5148935463732425,88,100
36,async_propulate_abc,gaussian_mean,mu,-0.3818880744732666,28,100
37,async_propulate_abc,gaussian_mean,mu,-4.432354390291283,88,100
38,async_propulate_abc,gaussian_mean,mu,-2.6169434954255832,31,100
39,async_propulate_abc,gaussian_mean,mu,0.6880134615516571,49,100
20,abc_smc_baseline,gaussian_mean,mu,3.14493946066235,30,100
21,abc_smc_baseline,gaussian_mean,mu,4.382028757080342,0,100
22,abc_smc_baseline,gaussian_mean,mu,-2.849922470642743,39,100
23,abc_smc_baseline,gaussian_mean,mu,-4.157922591440614,15,100
24,abc_smc_baseline,gaussian_mean,mu,0.3496631393193912,97,100
25,abc_smc_baseline,gaussian_mean,mu,4.467273700042563,0,100
26,abc_smc_baseline,gaussian_mean,mu,-0.8542101981940835,41,100
27,abc_smc_baseline,gaussian_mean,mu,2.902637187723668,89,100
28,abc_smc_baseline,gaussian_mean,mu,4.780388919561675,20,100
29,abc_smc_baseline,gaussian_mean,mu,-2.7662299359448115,10,100
30,abc_smc_baseline,gaussian_mean,mu,0.5386934909580177,68,100
