panel,method,n_workers,k,throughput_median,throughput_lo,throughput_hi
lv,async,1,100,149.1634336243104,138.82778623644268,180.90116691149984
lv,sync,1,100,105.41754102371648,93.97273581434966,110.02596700857072
lv,async,4,100,369.37224119413713,338.8898032486826,385.596404039898
lv,sync,4,100,95.74754401286673,77.00092926169013,104.3202705993884
lv,async,16,100,1982.93841240308,1978.9952309986636,2080.6941919083406
lv,sync,16,100,436.7846014974468,427.13354322982434,494.02188842385294
lv,async,48,100,6240.490152640311,6213.914560211385,6271.157873054407
lv,sync,48,100,2952.136508452687,2754.11835433736,3206.3494091437383
lv,async,144,100,4195.043056289742,4148.419760227634,4217.905081742705
lv,sync,144,144,3756.6415459568734,2876.606770730325,3852.9769594316585
lv,async,192,100,2614.671369769467,2603.9412825256586,2647.6179034131355
lv,sync,192,192,4321.584546852011,3916.832536854652,5837.140899097434
lv,async,240,100,2088.409904019527,2084.2796586514496,2096.203426227342
lv,sync,240,240,4539.005958875602,4170.249655908095,4966.461143664754
lv,async,288,100,1728.6550408843998,1719.856555125069,1738.2107434569157
lv,sync,288,288,6034.317002361767,5620.2904546335685,6311.8687062409
cpm,async,1,100,0.2239794050825558,0.2185078426074032,0.2253665320128401
cpm,sync,1,100,0.2553858971894882,0.2553061915284612,0.2564198354770645
cpm,async,4,100,0.4693288985940823,0.4671826867272575,0.4700093629704647
cpm,sync,4,100,0.4161246422289535,0.4155261497283725,0.4186017088175385
cpm,async,16,100,1.797394834089402,1.7909710738088025,1.8081572018034788
cpm,sync,16,100,1.5642935225076164,1.5428162217539836,1.5962899978665657
cpm,async,48,100,9.33171176444629,9.253736786478674,9.396110494732952
cpm,sync,48,100,3.8467582665544815,3.816695135615914,3.858070682276844
cpm,async,96,100,18.67145780643531,18.47724427328784,18.70456793588913
cpm,sync,96,100,4.52823360845507,4.319473213607721,4.58169767821273
cpm,async,192,100,37.7517609592221,37.65531378151319,37.90506733843742
cpm,sync,192,192,7.846721584709633,7.795730070718406,8.275052510629749
cpm,async,384,100,71.98484792587621,71.62702955747717,73.11793764509052
cpm,sync,384,384,14.173231430678625,13.743371886191717,15.76551368001546
