k,perturbation_scale,tol_init_multiplier,wasserstein
50,0.4,0.5,0.0917459383165018
50,0.4,1.0,0.09206257953908306
50,0.4,2.0,0.0985605187031859
50,0.4,5.0,0.09596991940408765
50,0.8,0.5,0.1180211320954519
50,0.8,1.0,0.11384399574841655
50,0.8,2.0,0.10704538493728044
50,0.8,5.0,0.1111068617753813
50,1.5,0.5,0.1314824281148467
50,1.5,1.0,0.15128706980998285
50,1.5,2.0,0.12144726912065854
50,1.5,5.0,0.12588221542392286
50,2.0,0.5,0.1338286266275256
50,2.0,1.0,0.14968098507835725
50,2.0,2.0,0.13782810534201295
50,2.0,5.0,0.15268192985403378
200,0.4,0.5,0.10107797602999215
200,0.4,1.0,0.1038035062254281
200,0.4,2.0,0.1031577072842889
200,0.4,5.0,0.09658436815406855
200,0.8,0.5,0.1139042309671264
200,0.8,1.0,0.11423213045249285
200,0.8,2.0,0.11374771042648671
200,0.8,5.0,0.11086532215819414
200,1.5,0.5,0.1349769371936782
200,1.5,1.0,0.13620153212384334
200,1.5,2.0,0.13706223545357515
200,1.5,5.0,0.1310712630598489
200,2.0,0.5,0.14422624866997463
200,2.0,1.0,0.14689664352909243
200,2.0,2.0,0.14770084031837094
200,2.0,5.0,0.14834724048514
