base_method,slowdown_factor,throughput_median,throughput_q1,throughput_q3,n_replicates
abc_smc_baseline,0.0,8838.470476924867,8391.052404202654,9041.62881772893,5
abc_smc_baseline,1.0,829.9194897170499,757.3838774696833,1155.8468020029875,5
abc_smc_baseline,5.0,191.75445919804952,181.4069997781081,248.0104177030821,5
abc_smc_baseline,10.0,93.9133755905946,88.63674330019218,93.95249035754232,5
abc_smc_baseline,20.0,59.609148138462025,48.224731126131545,64.96112250517511,5
async_propulate_abc,0.0,3902.190668000436,3871.7261173724014,3903.399620325935,5
async_propulate_abc,1.0,2644.884130795867,2626.201331979292,2717.2254888533,5
async_propulate_abc,5.0,3733.718031485661,3682.0433194825214,3749.808202599584,5
async_propulate_abc,10.0,3811.027366345613,3793.715637230323,3815.633583201,5
async_propulate_abc,20.0,3810.167297065378,3805.1312049237727,3824.1971893796094,5
