d,k,S,level,cov,n_params,n_trials
1,400,0,0.5,0.428,1,1000
1,400,0,0.8,0.71,1,1000
1,400,0,0.9,0.824,1,1000
1,400,0,0.95,0.894,1,1000
2,400,50,0.5,0.5415000000000001,2,1000
2,400,50,0.8,0.8374999999999999,2,1000
2,400,50,0.9,0.923,2,1000
2,400,50,0.95,0.965,2,1000
16,50,50,0.5,0.47731250000000003,16,1000
16,50,50,0.8,0.7551874999999999,16,1000
16,50,50,0.9,0.8565,16,1000
16,50,50,0.95,0.9110625000000001,16,1000
4,800,50,0.5,0.6094999999999999,4,1000
4,800,50,0.8,0.8645,4,1000
4,800,50,0.9,0.9355,4,1000
4,800,50,0.95,0.968,4,1000
2,50,5,0.5,0.4915,2,1000
2,50,5,0.8,0.788,2,1000
2,50,5,0.9,0.8855,2,1000
2,50,5,0.95,0.928,2,1000
1,400,20,0.5,0.505,1,1000
1,400,20,0.8,0.81,1,1000
1,400,20,0.9,0.903,1,1000
1,400,20,0.95,0.955,1,1000
2,800,0,0.5,0.8534999999999999,2,1000
2,800,0,0.8,0.9924999999999999,2,1000
2,800,0,0.9,0.9964999999999999,2,1000
2,800,0,0.95,0.9975,2,1000
16,50,20,0.5,0.4586875,16,1000
16,50,20,0.8,0.743375,16,1000
16,50,20,0.9,0.8491875,16,1000
16,50,20,0.95,0.9093125,16,1000
4,400,5,0.5,0.735,4,1000
4,400,5,0.8,0.95475,4,1000
4,400,5,0.9,0.9884999999999999,4,1000
4,400,5,0.95,0.9965,4,1000
2,200,5,0.5,0.5145,2,1000
2,200,5,0.8,0.821,2,1000
2,200,5,0.9,0.9105000000000001,2,1000
2,200,5,0.95,0.95,2,1000
4,50,20,0.5,0.5317500000000001,4,1000
4,50,20,0.8,0.8355,4,1000
4,50,20,0.9,0.9220000000000002,4,1000
4,50,20,0.95,0.9615,4,1000
4,800,0,0.5,0.94625,4,1000
4,800,0,0.8,0.9817499999999999,4,1000
4,800,0,0.9,0.993,4,1000
4,800,0,0.95,0.9969999999999999,4,1000
1,200,5,0.5,0.512,1,1000
1,200,5,0.8,0.799,1,1000
1,200,5,0.9,0.897,1,1000
1,200,5,0.95,0.949,1,1000
4,200,50,0.5,0.642,4,1000
4,200,50,0.8,0.91525,4,1000
4,200,50,0.9,0.97025,4,1000
4,200,50,0.95,0.98975,4,1000
1,100,0,0.5,0.415,1,1000
1,100,0,0.8,0.689,1,1000
1,100,0,0.9,0.814,1,1000
1,100,0,0.95,0.879,1,1000
16,800,5,0.5,0.6039375,16,1000
16,800,5,0.8,0.8635625,16,1000
16,800,5,0.9,0.934625,16,1000
