arm,base_method,method_variant,k,n_workers,replicate,seed,elapsed_wall_time_s,n_simulations,throughput_sims_per_s,worker_utilization,final_quality_wasserstein
twin,async_propulate_abc,async_propulate_abc__k100__w48,100,48,0,1654615998,1186.7130489349363,2016,1.698810004498847,0.8473819238129692,
twin,async_propulate_abc,async_propulate_abc__k100__w48,100,48,1,1806341205,975.9298837184906,2016,2.065722172907168,0.841064888758714,
twin,async_propulate_abc,async_propulate_abc__k100__w48,100,48,2,173879092,413.5849025249481,2016,4.874452591698247,0.8474831246538417,
twin,async_propulate_abc,async_propulate_abc__k100__w48,100,48,3,1112038970,336.8338434696197,2016,5.9851467988899705,0.8475975419810544,
twin,async_propulate_abc,async_propulate_abc__k100__w48,100,48,4,2087043557,340.7386474609375,2016,5.916558086446932,0.8256282108810585,
async,async_propulate_abc,async_propulate_abc__k100__w48,100,48,0,1654615998,1799.8699386119845,16643,9.246779249413253,0.9977100597965968,
async,async_propulate_abc,async_propulate_abc__k100__w48,100,48,1,1806341205,1799.9215219020844,16656,9.253736786478674,0.9972498853916848,
async,async_propulate_abc,async_propulate_abc__k100__w48,100,48,2,173879092,1799.991301059723,16797,9.33171176444629,0.9976392180900236,
async,async_propulate_abc,async_propulate_abc__k100__w48,100,48,3,1112038970,1799.8936910629272,16912,9.396110494732952,0.997548909909664,
async,async_propulate_abc,async_propulate_abc__k100__w48,100,48,4,2087043557,1799.9460535049438,16971,9.428615911545366,0.997672824403926,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k100__w48,100,48,0,1654615998,1799.6971788406372,6923,3.8467582665544815,0.4490434063357241,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k100__w48,100,48,1,1806341205,1798.349633216858,7493,4.166598008306453,0.4337526846754815,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k100__w48,100,48,2,173879092,1799.9865736961365,6870,3.816695135615914,0.3976568191912813,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k100__w48,100,48,3,1112038970,1798.4045736789703,6848,3.8078194974733326,0.3958428875186404,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k100__w48,100,48,4,2087043557,1799.604147195816,6943,3.858070682276844,0.3937165111921069,
twin,async_propulate_abc,async_propulate_abc__k100__w96,100,96,0,1654615998,1478.9608285427094,3840,2.5964176507526133,0.7486848471791384,
twin,async_propulate_abc,async_propulate_abc__k100__w96,100,96,1,1806341205,953.4844725131989,3840,4.027333544172471,0.681633101627517,
twin,async_propulate_abc,async_propulate_abc__k100__w96,100,96,2,173879092,332.9329695701599,3840,11.533853210625889,0.8341894316027859,
twin,async_propulate_abc,async_propulate_abc__k100__w96,100,96,3,1112038970,384.1845936775208,3840,9.995195182717929,0.8480518994925231,
twin,async_propulate_abc,async_propulate_abc__k100__w96,100,96,4,2087043557,342.9874782562256,3840,11.195743994862005,0.8371017132926141,
async,async_propulate_abc,async_propulate_abc__k100__w96,100,96,0,1654615998,1799.9978518486023,33259,18.47724427328784,0.9951975682668784,
async,async_propulate_abc,async_propulate_abc__k100__w96,100,96,1,1806341205,1799.9664242267609,32752,18.1958949673574,0.9964634670872176,
