arm,level,replicate,n,calls_per_rank_min,calls_per_rank_median,calls_per_rank_max,eps_sched,n_distinct_eps,eps_k,w1_sched,ess_sched,w1_rereport,ess_rereport,archive_w1
twin_fine,0.0,0,21120,440.0,440.0,440.0,0.3125,5.0,0.000833247344053,0.17252812028155579,1536.2073371162026,0.016149413495876085,151.99156847184116,0.028966670994831058
twin_fine,0.0,1,21120,440.0,440.0,440.0,0.386481125809696,5.0,0.0008111038101898,0.18568686507223603,1284.5500036488365,0.011520551503966003,147.65755697858395,0.022825933448097916
twin_fine,0.0,2,21120,440.0,440.0,440.0,0.3304865385614928,5.0,0.00112348193506,0.1572453349747655,3745.3328134060293,0.008652645141788717,173.52613942857113,0.01161165582955367
twin_fine,0.0,3,21120,440.0,440.0,440.0,0.3614068289552552,5.0,0.0011631329415475,0.18828121830879274,4084.6735077892913,0.017625987868846026,139.97431429101857,0.01568041121811945
twin_fine,0.0,4,21120,440.0,440.0,440.0,0.4419693571869227,5.0,0.0009460799596189,0.21739074947924286,1747.7934419746261,0.014649259907403737,128.96332527290497,0.025931911257366772
twin_fine,0.5,0,6912,144.0,144.0,144.0,1.25,3.0,0.002939910018014,0.8157213269132936,530.936055189617,0.013092451112776269,163.70471644758612,0.014337064626562276
twin_fine,0.5,1,6912,144.0,144.0,144.0,2.614662144135818,3.0,0.0032479775094776,1.452345132069115,483.453352499633,0.014743809084301847,168.34441441652973,0.024541523733883824
twin_fine,0.5,2,6912,144.0,144.0,144.0,2.3909637900898675,4.0,0.0034979333189257,1.434631903824731,525.636075043122,0.006160100828780487,176.692139475717,0.014777650937666783
twin_fine,0.5,3,6912,144.0,144.0,144.0,1.4783150247761423,3.0,0.0031804347633318,0.8824221080077377,480.8060883534363,0.01826493325151193,160.54962290368965,0.0309198050889591
twin_fine,0.5,4,6912,144.0,144.0,144.0,2.7960666155611418,3.0,0.0029932493508086,1.5488018419392455,486.52037200638756,0.013188135112469277,167.20753706644783,0.024390115204556966
twin_fine,1.0,0,2112,44.0,44.0,44.0,5.0,1.0,0.0137903753889599,2.130905797806369,342.74978658105925,0.013907683010154237,182.6308941205242,0.028953692424414163
twin_fine,1.0,1,2112,44.0,44.0,44.0,5.0,1.0,0.0098365687245086,2.237858205055003,365.7640679950666,0.012276461864463278,146.51461803949917,0.026174340492363456
twin_fine,1.0,2,2112,44.0,44.0,44.0,5.0,1.0,0.0155137790958581,2.282596499417691,353.50566847791004,0.01477689740745513,169.72329017351726,0.016665790919811466
twin_fine,1.0,3,2112,44.0,44.0,44.0,5.0,1.0,0.0145566679869759,2.038644330519525,310.1584105616767,0.010600729761152672,183.16941813035024,0.019104464266884596
twin_fine,1.0,4,2112,44.0,44.0,44.0,5.0,1.0,0.0139337342132166,2.2035080493865165,339.2496723814699,0.010904801243509812,182.70153512630452,0.019394430804398087
twin_fine,1.5,0,672,14.0,14.0,14.0,5.0,1.0,0.113562238510709,2.2149765100124785,324.5834622613091,0.04586040287662434,169.62508535390654,0.015293543864064656
twin_fine,1.5,1,672,14.0,14.0,14.0,5.0,1.0,0.1095085999497969,2.277246055737362,327.6616393712712,0.04001754294103645,178.24616184714915,0.010399915451743166
twin_fine,1.5,2,672,14.0,14.0,14.0,5.0,1.0,0.1017392287110156,2.2078031291602036,332.3229426240541,0.03935709921480651,175.45317324008792,0.014942249003852515
